"family","shape","seed","config","package","repetition","batch_size","seconds","block_seconds","object_mb","reported_picasso_seconds","path_fitted"
"binomial","wide",74003,"public_default","glmnet",7,4,0.0392499999999999,0.157,7.15398406982422,NA,45
"gaussian","tall",74001,"public_default","picasso",1,9,0.0158888888888889,0.143,0.0221405029296875,0.0143449306488037,45
"gaussian","tall",74001,"public_default","glmnet",1,8,0.00925000000000001,0.0740000000000001,4.74568176269531,NA,45
"gaussian","tall",74001,"public_default","glmnet",2,8,0.00924999999999998,0.0739999999999998,4.74568176269531,NA,45
"gaussian","tall",74001,"public_default","picasso",2,9,0.0173333333333333,0.156,0.0221405029296875,0.0172951221466064,45
"gaussian","tall",74001,"public_default","picasso",3,9,0.0166666666666667,0.15,0.0221405029296875,0.0170118808746338,45
"gaussian","tall",74001,"public_default","glmnet",3,8,0.010625,0.085,4.74568176269531,NA,45
"gaussian","tall",74001,"public_default","glmnet",4,8,0.00837500000000002,0.0670000000000002,4.74568176269531,NA,45
"gaussian","tall",74001,"public_default","picasso",4,9,0.0142222222222222,0.128,0.0221405029296875,0.015172004699707,45
"gaussian","tall",74001,"public_default","picasso",5,9,0.0153333333333334,0.138,0.0221405029296875,0.0147640705108643,45
"gaussian","tall",74001,"public_default","glmnet",5,8,0.00900000000000001,0.0720000000000001,4.74568176269531,NA,45
"gaussian","tall",74001,"public_default","glmnet",6,8,0.00900000000000001,0.0720000000000001,4.74568176269531,NA,45
"gaussian","tall",74001,"public_default","picasso",6,9,0.0155555555555556,0.14,0.0221405029296875,0.0146429538726807,45
"gaussian","tall",74001,"public_default","picasso",7,9,0.0154444444444444,0.139,0.0221405029296875,0.0149171352386475,45
"gaussian","tall",74001,"public_default","glmnet",7,8,0.00912499999999999,0.073,4.74568176269531,NA,45
"gaussian","tall",74001,"matched_naive","picasso",1,10,0.0154,0.154,0.0221405029296875,0.017603874206543,45
"gaussian","tall",74001,"matched_naive","glmnet",1,10,0.0172,0.172,4.74589538574219,NA,45
"gaussian","tall",74001,"matched_naive","glmnet",2,10,0.0173,0.173,4.74589538574219,NA,45
"gaussian","tall",74001,"matched_naive","picasso",2,10,0.0156,0.156,0.0221405029296875,0.0185389518737793,45
"gaussian","tall",74001,"matched_naive","picasso",3,10,0.0168,0.168,0.0221405029296875,0.0184171199798584,45
"gaussian","tall",74001,"matched_naive","glmnet",3,10,0.0180999999999999,0.180999999999999,4.74589538574219,NA,45
"gaussian","tall",74001,"matched_naive","glmnet",4,10,0.0173,0.173,4.74589538574219,NA,45
"gaussian","tall",74001,"matched_naive","picasso",4,10,0.0156000000000001,0.156000000000001,0.0221405029296875,0.0181539058685303,45
"gaussian","tall",74001,"matched_naive","picasso",5,10,0.0157,0.157,0.0221405029296875,0.0183548927307129,45
"gaussian","tall",74001,"matched_naive","glmnet",5,10,0.0175,0.175,4.74589538574219,NA,45
"gaussian","tall",74001,"matched_naive","glmnet",6,10,0.0167999999999999,0.167999999999999,4.74589538574219,NA,45
"gaussian","tall",74001,"matched_naive","picasso",6,10,0.016,0.16,0.0221405029296875,0.0179438591003418,45
"gaussian","tall",74001,"matched_naive","picasso",7,10,0.0173,0.173,0.0221405029296875,0.0218300819396973,45
"gaussian","tall",74001,"matched_naive","glmnet",7,10,0.0191,0.191,4.74589538574219,NA,45
"gaussian","tall",74001,"matched_covariance","picasso",1,9,0.0150000000000001,0.135000000000001,0.02215576171875,0.0131659507751465,45
"gaussian","tall",74001,"matched_covariance","glmnet",1,17,0.0098235294117647,0.167,4.74590301513672,NA,45
"gaussian","tall",74001,"matched_covariance","glmnet",2,17,0.01,0.17,4.74590301513672,NA,45
"gaussian","tall",74001,"matched_covariance","picasso",2,9,0.0137777777777778,0.124000000000001,0.02215576171875,0.012908935546875,45
"gaussian","tall",74001,"matched_covariance","picasso",3,9,0.0141111111111112,0.127000000000001,0.02215576171875,0.0143311023712158,45
"gaussian","tall",74001,"matched_covariance","glmnet",3,17,0.011235294117647,0.191,4.74590301513672,NA,45
"gaussian","tall",74001,"matched_covariance","glmnet",4,17,0.00864705882352943,0.147,4.74590301513672,NA,45
"gaussian","tall",74001,"matched_covariance","picasso",4,9,0.0113333333333334,0.102,0.02215576171875,0.0108189582824707,45
"gaussian","tall",74001,"matched_covariance","picasso",5,9,0.0108888888888888,0.097999999999999,0.02215576171875,0.0105600357055664,45
"gaussian","tall",74001,"matched_covariance","glmnet",5,17,0.00817647058823526,0.138999999999999,4.74590301513672,NA,45
"gaussian","tall",74001,"matched_covariance","glmnet",6,17,0.00782352941176465,0.132999999999999,4.74590301513672,NA,45
"gaussian","tall",74001,"matched_covariance","picasso",6,9,0.0112222222222221,0.100999999999999,0.02215576171875,0.0103800296783447,45
"gaussian","tall",74001,"matched_covariance","picasso",7,9,0.0122222222222224,0.110000000000001,0.02215576171875,0.0153021812438965,45
"gaussian","tall",74001,"matched_covariance","glmnet",7,17,0.00823529411764709,0.140000000000001,4.74590301513672,NA,45
"gaussian","tall",74002,"public_default","picasso",1,10,0.0143,0.143,0.021026611328125,0.0155301094055176,45
"gaussian","tall",74002,"public_default","glmnet",1,10,0.00780000000000001,0.0780000000000001,4.74459838867188,NA,45
"gaussian","tall",74002,"public_default","glmnet",2,10,0.00759999999999998,0.0759999999999998,4.74459838867188,NA,45
"gaussian","tall",74002,"public_default","picasso",2,10,0.014,0.14,0.021026611328125,0.0159389972686768,45
"gaussian","tall",74002,"public_default","picasso",3,10,0.0141,0.141,0.021026611328125,0.0172250270843506,45
"gaussian","tall",74002,"public_default","glmnet",3,10,0.00780000000000001,0.0780000000000001,4.74459838867188,NA,45
"gaussian","tall",74002,"public_default","glmnet",4,10,0.0077,0.077,4.74459838867188,NA,45
"gaussian","tall",74002,"public_default","picasso",4,10,0.0184,0.184,0.021026611328125,0.0153470039367676,45
"gaussian","tall",74002,"public_default","picasso",5,10,0.0138,0.138,0.021026611328125,0.0160250663757324,45
"gaussian","tall",74002,"public_default","glmnet",5,10,0.0077,0.077,4.74459838867188,NA,45
"gaussian","tall",74002,"public_default","glmnet",6,10,0.00789999999999997,0.0789999999999997,4.74459838867188,NA,45
"gaussian","tall",74002,"public_default","picasso",6,10,0.0138,0.138,0.021026611328125,0.0158569812774658,45
"gaussian","tall",74002,"public_default","picasso",7,10,0.0139,0.139,0.021026611328125,0.015894889831543,45
"gaussian","tall",74002,"public_default","glmnet",7,10,0.00750000000000002,0.0750000000000002,4.74459838867188,NA,45
"gaussian","tall",74002,"matched_naive","picasso",1,10,0.0138,0.138,0.021026611328125,0.0155260562896729,45
"gaussian","tall",74002,"matched_naive","glmnet",1,10,0.0163,0.163,4.74481201171875,NA,45
"gaussian","tall",74002,"matched_naive","glmnet",2,10,0.0165,0.165,4.74481201171875,NA,45
"gaussian","tall",74002,"matched_naive","picasso",2,10,0.0138,0.138,0.021026611328125,0.0155389308929443,45
"gaussian","tall",74002,"matched_naive","picasso",3,10,0.0139,0.139,0.021026611328125,0.0172040462493896,45
"gaussian","tall",74002,"matched_naive","glmnet",3,10,0.0162,0.162,4.74481201171875,NA,45
"gaussian","tall",74002,"matched_naive","glmnet",4,10,0.0164,0.164,4.74481201171875,NA,45
"gaussian","tall",74002,"matched_naive","picasso",4,10,0.0137,0.137,0.021026611328125,0.0152730941772461,45
"gaussian","tall",74002,"matched_naive","picasso",5,10,0.0137,0.137,0.021026611328125,0.0151209831237793,45
"gaussian","tall",74002,"matched_naive","glmnet",5,10,0.0164,0.164,4.74481201171875,NA,45
"gaussian","tall",74002,"matched_naive","glmnet",6,10,0.0162,0.162,4.74481201171875,NA,45
"gaussian","tall",74002,"matched_naive","picasso",6,10,0.0137,0.137,0.021026611328125,0.015470027923584,45
"gaussian","tall",74002,"matched_naive","picasso",7,10,0.014,0.14,0.021026611328125,0.0154190063476562,45
"gaussian","tall",74002,"matched_naive","glmnet",7,10,0.0167,0.167,4.74481201171875,NA,45
"gaussian","tall",74002,"matched_covariance","picasso",1,12,0.012,0.144,0.0210418701171875,0.0109009742736816,45
"gaussian","tall",74002,"matched_covariance","glmnet",1,19,0.0084736842105263,0.161,4.74481964111328,NA,45
"gaussian","tall",74002,"matched_covariance","glmnet",2,19,0.00852631578947368,0.162,4.74481964111328,NA,45
"gaussian","tall",74002,"matched_covariance","picasso",2,12,0.0123333333333334,0.148000000000001,0.0210418701171875,0.0115821361541748,45
"gaussian","tall",74002,"matched_covariance","picasso",3,12,0.0120833333333334,0.145,0.0210418701171875,0.0112080574035645,45
"gaussian","tall",74002,"matched_covariance","glmnet",3,19,0.00836842105263157,0.159,4.74481964111328,NA,45
