"family","shape","seed","package","lambda_index","lambda","objective","loss","penalty","kkt","relative_kkt","intercept_kkt","nonzero"
"binomial","tall",74002,"picasso",31,0.0045768295566921,0.581826227066648,0.546133427275211,0.0356927997914366,2.55650438229123e-05,0.00555472662427762,4.17343981466423e-08,83
"binomial","tall",74002,"picasso",32,0.00418747073357572,0.578737674434396,0.544987624513799,0.033750049920597,2.49397663837515e-05,0.00592054510926498,3.59350902808531e-08,84
"binomial","tall",74002,"picasso",33,0.00383123534039282,0.575821613552716,0.54399945352904,0.0318221600236758,2.40456944855571e-05,0.00623707954569793,3.13640178860319e-08,86
"binomial","tall",74002,"picasso",34,0.00350530550954821,0.573075660109206,0.543149072699597,0.029926587409609,2.32233653192798e-05,0.00658159990830509,2.81865771837586e-08,87
"binomial","tall",74002,"picasso",35,0.00320710309432708,0.570496632448248,0.542424522857748,0.0280721095905001,2.23634426841706e-05,0.00692481015916244,2.48786626053932e-08,87
"binomial","tall",74002,"picasso",36,0.00293426927542415,0.568079656155229,0.541792463052441,0.0262871931027886,2.17480427709064e-05,0.00735721087865134,2.12079736423842e-08,90
"binomial","tall",74002,"picasso",37,0.00268464590238086,0.565818416880167,0.541244843184418,0.0245735736957491,2.10317392304615e-05,0.0077731873549934,1.91122955829071e-08,92
"binomial","tall",74002,"picasso",38,0.00245625842233874,0.563706154773679,0.540769370447891,0.022936784325788,2.0368367592213e-05,0.00822423777172371,1.67204832619561e-08,95
"binomial","tall",74002,"picasso",39,0.00224730026107334,0.561736364355174,0.540394817008296,0.0213415473468773,9.47086763338576e-05,0.0404390755394419,5.81207830005315e-07,96
"binomial","tall",74002,"picasso",40,0.00205611853276072,0.559900710652578,0.54000292016667,0.0198977904859077,2.15431035502801e-05,0.0103689181981196,1.74105226197485e-08,97
"binomial","tall",74002,"picasso",41,0.00188120096543884,0.558194253087888,0.539726893592192,0.0184673594956958,8.0372654396661e-05,0.0409735599948583,3.88236466771885e-07,99
"binomial","tall",74002,"picasso",42,0.00172116393874255,0.556608622039705,0.539463047631704,0.0171455744080016,8.9332228979577e-05,0.0493412969175019,3.6456295600612e-07,103
"binomial","tall",74002,"picasso",43,0.00157474153928936,0.555137002329985,0.539233114448322,0.0159038878816639,8.62164604551535e-05,0.0519076704338191,3.22700396344355e-07,105
"binomial","tall",74002,"picasso",44,0.00144077554714231,0.553772797653517,0.539036458613514,0.0147363390400029,8.13455542213366e-05,0.0534422354098239,2.84358878448632e-07,105
"binomial","tall",74002,"picasso",45,0.00131820627414198,0.552509593074402,0.538870076247296,0.0136395168271054,7.59055348775351e-05,0.0544472361445097,2.38614930642006e-07,105
"binomial","tall",74002,"glmnet",1,0.065910313707099,0.690934422979081,0.690934422979081,0,3.58824081558851e-16,5.44412644056651e-15,3.58824081558851e-16,0
"binomial","tall",74002,"glmnet",2,0.0603032090818668,0.690871260056516,0.689512563553748,0.00135869650276826,6.30009235058626e-09,1.04473572606065e-07,2.57714061202563e-12,1
"binomial","tall",74002,"glmnet",3,0.0551731105655422,0.690688010302308,0.687731847537841,0.00295616276446746,2.77646330440473e-08,5.03227584206453e-07,4.82273232460528e-12,2
"binomial","tall",74002,"glmnet",4,0.0504794384216759,0.690301385768251,0.684209877702524,0.00609150806572763,8.1764136664747e-07,1.61972507751616e-05,3.1315025073031e-11,4
"binomial","tall",74002,"glmnet",5,0.0461850651023328,0.689508761495315,0.677412681205868,0.0120960802894479,2.57325507590361e-06,5.57130688516975e-05,2.08961466463542e-10,8
"binomial","tall",74002,"glmnet",6,0.0422560215644313,0.688121080278476,0.669096543942513,0.0190245363359626,4.62734042037949e-06,0.00010949525244626,6.66571402463401e-10,9
"binomial","tall",74002,"glmnet",7,0.0386612285702612,0.686110357726479,0.659360476496933,0.0267498812295455,6.11336267767465e-06,0.000158101446131909,1.3455748645308e-09,14
"binomial","tall",74002,"glmnet",8,0.035372250846732,0.683383150474545,0.64915663646067,0.0342265140138751,7.7817909841793e-06,0.000219948666070016,2.7335449218624e-09,15
